id,title,genres,year,keywords,cast,director,vote_average,release_date,popularity
1257960,Sikandar,"Action, Drama",2025,,"Salman Khan, Rashmika Mandanna, Sathyaraj",A.R. Murugadoss,5.194,2025-03-29,436.6307
1225915,Jewel Thief - The Heist Begins,"Action, Thriller",2025,audacious,"Saif Ali Khan, Jaideep Ahlawat, Nikita Dutta",Robby Grewal,6.773,2025-04-24,75.4564
1195430,Deva,"Action, Thriller, Mystery, Crime",2025,"remake, based on movie","Shahid Kapoor, Pooja Hegde, Pavail Gulati",Rosshan Andrrews,5.9,2025-01-31,25.1831
1143407,Sky Force,"Action, Thriller, War, History",2025,"based on true story, historical epic, indian air force, pakistani air force","Akshay Kumar, Veer Pahariya, Nimrat Kaur",Abhishek Kapur,6.4,2025-01-24,18.1197
1201012,Dhoom Dhaam,"Comedy, Romance, Action",2025,,"Yami Gautam, Pratik Gandhi, Eijaz Khan",Rishab Seth,6.722,2025-02-13,11.4021
1147546,The Diplomat,"Thriller, Drama",2025,"based on true story, pakistan, sexual violence, sex trafficking, forced marriage","John Abraham, Sadia Khateeb, Kumud Mishra",Shivam Nair,6.1,2025-03-07,7.7179
1160018,Kill,"Action, Crime, Thriller, Drama",2024,"train, one man army, relationship, train robbery, aggressive, action hero, high octane","Lakshya Lalwani, Raghav Juyal, Tanya Maniktala",Nikhil Nagesh Bhat,7.165,2024-07-03,9.7653
19404,Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",1995,"family's daily life, family history, love-hate relationship, family drama, love affair, curious, casual, romantic, admiring, adoring","Kajol, Shah Rukh Khan, Amrish Puri",Aditya Chopra,8.516,1995-10-20,9.3731
781732,Animal,"Action, Crime, Drama",2023,"fistfight, shootout, held at gunpoint, machine gun, hand to hand combat, action hero, father son conflict, complex relationship","Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor",Sandeep Reddy Vanga,6.241,2023-12-01,8.9047
1196943,Chhaava,"History, Action, Drama",2025,"biography, historical drama, 17th century, historical epic","Vicky Kaushal, Rashmika Mandanna, Akshaye Khanna",Laxman Utekar,6.424,2025-02-14,10.3823
1227128,Raid 2,"Crime, Drama, Thriller",2025,"sequel, political corruption, single location","Ajay Devgn, Ritesh Deshmukh, Vaani Kapoor",Raj Kumar Gupta,6.4,2025-05-01,8.7259
1301632,Bhool Chuk Maaf,"Comedy, Romance, Science Fiction",2025,"time loop, family comedy","Rajkummar Rao, Wamiqa Gabbi, Raghubir Yadav",Karan Shrikant Sharma,0.0,2025-05-23,8.0027
1163258,12th Fail,Drama,2023,awestruck,"Vikrant Massey, Medha Shankr, Anant Joshi",Vidhu Vinod Chopra,7.954,2023-08-11,7.623
1020951,Chandu Champion,Drama,2024,"sports, paralympics, biography, based on true story, battlefield, soldier, swimming, military, disability, boxing, paralympic games, athlete, sports drama, based on real person, sport","Kartik Aaryan, Vijay Raaz, Bhuvan Arora",Kabir Khan,7.211,2024-06-14,7.8175
11518,Mohabbatein,"Drama, Romance",2000,"becoming an adult, tradition, forbidden love, musical, elite, principal, discipline, school life, teachers and students","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra",Aditya Chopra,7.029,2000-10-27,8.214
872906,Jawan,"Action, Crime, Thriller",2023,"revenge, vigilantism, political, admiring","Shah Rukh Khan, Nayanthara, Vijay Sethupathi",Atlee,7.105,2023-09-07,7.5063
20453,3 Idiots,"Drama, Comedy",2009,"suicide, suicide attempt, professor, college, middle class, slapstick comedy, coming of age, teacher, friends, engineering, university, subjective camera, smart kid, poor kid, brilliant, student, pregnant, delhi","Aamir Khan, R. Madhavan, Sharman Joshi",Rajkumar Hirani,8.0,2009-12-23,7.3489
1226572,Superboys of Malegaon,"Comedy, Drama",2025,"cinema on cinema, filmmaking","Adarsh Gourav, Shashank Arora, Vineet Kumar Singh",Reema Kagti,7.8,2025-02-27,9.5303
1146210,Housefull 5,"Comedy, Crime, Mystery",2025,"sequel, cruise ship, murder mystery, comedy of errors, party","Akshay Kumar, Ritesh Deshmukh, Abhishek Bachchan",Tarun Mansukhani,0.0,2025-06-05,7.2298
899718,Yodha,"Action, Adventure, Thriller",2024,,"Sidharth Malhotra, Raashii Khanna, Disha Patani",Sagar Ambre,6.214,2024-03-15,6.8325
360814,Dangal,"Drama, Family, Comedy",2016,"small town, strong woman, sports, parent child relationship, empowerment, abusive father, feminism, wrestling, training, biography, autobiography, domestic abuse, fighting, womanhood, endurance, woman vs woman fight, female empowerment, determination, strength training, overcoming fears, father daughter relationship","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra",Nitesh Tiwari,7.9,2016-12-21,7.8353
